image_name,comment,label
2562463210.jpg, A young boy wearing Spider-Man water-wings at the edge of the pool .,human
3472485022.jpg, The large brown dog is running through the grass with a large stick in its mouth .,animal
524282699.jpg, A black dog and a golden dog approaching one another .,animal
3088572348.jpg, A man wakeboards in the water .,human
6745586595.jpg, A man in a black and white uniform is playing ice hockey .,human
4867540330.jpg, Two kids playing Nintendo DS while lounging on a couch .,human
2775461796.jpg, Crowds peddle their bikes across a city street .,human
432248727.jpg, A brown dog is crouching and looking up in a field of grass .,animal
3064716525.jpg, A dog leaping over a hurdle .,animal
2736263527.jpg, A man and woman dig up dirt and have a plant near them .,human
393987665.jpg, The woman in the red jacket looks as if she was buying something from the open air vendor .,human
511282305.jpg, Two girls are on a fair ride that is forcing them to be smashed together .,human
1163297375.jpg, Blond woman driving a red bicycle carriage holds the tip of her hat and poses for the camera with a customer seated in the back .,human
482642539.jpg, a Young child holds on to a post with his face pressed against it .,human
1019077836.jpg, A brown dog running on a lawn near a garden hose,animal
3647750811.jpg, a black and white dog is wearing a red collar whilst walking on the grass .,animal
2094323311.jpg, A dog with a blue collar is licking a man who 's wearing large tinted sunglasses .,animal
171822522.jpg, The little boy in the green shirt kicked the soccer ball high .,human
470903027.jpg, A person wearing a hat sits on the grass with a mountain behind him .,human
1402859872.jpg, A yellow robot high-fiving a small child with short hair .,human
385186343.jpg, The dog is wearing a pink sweater .,animal
4656684238.jpg, Numerous people interacting with two elephant statues .,animal
2768021570.jpg, The dog is herding sheep into a pen .,animal
4883101538.jpg, An informal outdoor gathering of people around a table .,human
2847633529.jpg," A couple , sitting and holding each other , look at an ocean view .",human
2746839158.jpg, Two boys in underwear play in the water in the city street .,human
3402638444.jpg, Six young people are posing for a photograph on a subway train .,human
3704431444.jpg, a dog runs on the shore .,animal
1082379191.jpg, A man and a woman are sitting on a dock together .,human
2867736861.jpg, Yellow dog catches ball in shallow waters .,animal
1508269285.jpg, The dog stands in the water next to the grass .,animal
181777261.jpg," Many people are on the beach , near a building with flags flying .",human
2896483502.jpg, A dog catching a Frisbee .,animal
4705826062.jpg, A man wearing a gray shirt and backpack eating an ice cream cone while a women in an orange shirt stands next to him .,human
7519792774.jpg, A soldier letting a child hold a gun while the child wears his helmet and vest .,human
4296373889.jpg," Two men walk in the park , one with a shaggy dog on a leash and a device for cleaning up canine droppings .",animal
2663272259.jpg, A boy in a black vest holds two elephant tusks to his face in a store .,animal
5479752383.jpg, A man cutting ice blocks or making a sculpture and people looking on .,human
2347251375.jpg, A man is jumping on a sheet of ice near a lake with a video camera in his hand .,human
140377584.jpg, Downward view of a man with an orange helmet climbing a rock .,human
3377344932.jpg," A yellow lab descends a slide , while a mother in a red sweater and a child in a black shirt play with a brown dog .",animal
4865304495.jpg, A shirtless man running on a boat dock .,human
3611694228.jpg, Two men fighting in front of an audience .,human
4622064391.jpg, A golden retriever puppy stands in front of two people looking over a railing .,human
4827151208.jpg, A young man in a tank top looking back at a woman near a fountain .,human
5508398736.jpg," A bunch of people are watching a man with his left arm wrapped around the legs of his downed , struggling wrestling opponent on a blue mat .",human
2125454445.jpg, A black and white dog on a leash is wearing a plaid outfit .,animal
396179143.jpg, The small dog on the leash is walking through the snow .,animal
2749807618.jpg, A spiky haired woman in an orange sweater holds a drink .,human
3662909101.jpg, A black dog jumps over an obstacle .,animal
3691592651.jpg, Two girls climb on an iceburg climbing device that is floating in water .,human
87761964.jpg, Seven men standing on some type of pyramid shaped object by the water .,human
2234018985.jpg, A dog is on a leash in a room that is filled with shadows .,animal
4603097016.jpg, A woman wearing red sunglasses sitting on a bench with her dog .,animal
4062550863.jpg, A young girl in a red dress is wearing a black cowboy hat .,human
2433178831.jpg, A man wearing a green jacket and ear protection stands on the street .,human
522652105.jpg, A little girl plays in a pit of colorful balls .,human
3344531479.jpg, The tennis player holds his racket in preparation for the ball .,human
6953343058.jpg, A man checks his phone while sitting on a stone bench .,human
2463067409.jpg, A dog runs through the grass towards the camera .,animal
3043908909.jpg, a woman is being videotaped whilst giving a presentation to a group of people .,human
3454092588.jpg, Older man looks on in construction site .,human
4969460165.jpg, Young men mingle around a basketball court with a ferris wheel in the background .,human
2936693681.jpg, A little girl is pushing her scooter through a grassy tree lined field .,human
2228381169.jpg, A man in black stands side by side with a white dog .,animal
783353797.jpg, A woman in white is pointed at by a sign on the road saying look right .,human
756004341.jpg, Two young children wearing sunglasses,human
429497076.jpg, People wearing business suits are gathered around a conference table .,human
3419634480.jpg, A black dog running across green grass .,animal
4688301633.jpg, A surgeon is performing an open surgery .,human
3437034427.jpg, Young girls are playing musical instruments .,human
49416802.jpg, A man with glasses reads through a menu on the lake-side patio of a restaurant .,human
3523474077.jpg, a man holding a digital camera standing outside of a huge building .,human
15875060.jpg, A boy with no shirt and a volleyball in his hand .,human
2970450682.jpg, this man is works harder than most people in the world .,human
4604364861.jpg, The police officer riding a horse is talking to a man riding a bike .,animal
4567351269.jpg, A man is wearing a red clown nose while standing outside and talking to another man .,human
1932161768.jpg, a small dog steps onto a log .,animal
514222303.jpg, A young girl balances on a rope ladder outside .,human
2240539658.jpg, Two large dogs play together in the snow .,human
2853451727.jpg, A guy in a black shirt jumps into the air on a walking bridge .,human
4855357158.jpg, A person is carrying their white canoe down a rocky trail while a black dog in a red collar watches .,animal
431664339.jpg, A man wearing a white hat is sitting is sitting a horse drawn cart on the street .,animal
5744253993.jpg, The musicians perform their best on stage .,human
4930796789.jpg, A man is herding horned cows on a horse .,animal
4725480987.jpg, A man in a cap holds a vuvuzela horn and waves a large red & green flag adorned with a crest .,human
448493587.jpg, A show horse being ridden by a woman in jockey clothes is about to jump over a white steeple on a green field in front of a parking lot with camper vans in it .,animal
2176364472.jpg, A brown lab dog runs over an obstacle on a course .,animal
3338082262.jpg, A man is splashing water from a bucket on a group of plants and leaves .,human
7702108102.jpg, A lady cooking a cake for her family .,human
4967237527.jpg, Two young men wearing camouflage stand in the grass .,human
300539993.jpg, A black and brown dog chewing on a stick,animal
81125088.jpg, A little black boy in a red suit picking at trash .,human
311267421.jpg, A black and white and a brown and white dog running in a grassy field in front of a stand of trees .,animal
458735196.jpg," A brown dog indoors , with a large pink toy .",animal
4764975754.jpg, A hectic race between cowboys at the rodeo .,human
865789346.jpg, Two people stopping to admire a lake during a bike ride .,human
3614269018.jpg, A young man in a yellow rain suit stands beneath a street lamp .,human
861661418.jpg, A puppy with big ears chewing on a stick .,human
4762649269.jpg, People are sitting on a park bench while there are 3 pictures visible in the foreground .,human
35400054.jpg, Three people sailing on very blue waters .,human
2561751298.jpg, A girl bounces in a harness with a building in the background .,human
2135502491.jpg, St Bernard dog running in the snowy field .,animal
536721406.jpg, A bull runs from an aggressive dog behind him .,animal
3284887033.jpg, A sandy brown dog is playing with a soccer ball outside .,animal
1011572216.jpg, A couple getting married .,human
2939116460.jpg," Blond-haired girl wearing a bicycle helmet , a black t-shirt that reads "" Twizzlers "" and a printed dog tag necklace around her neck .",animal
460478198.jpg, A husky chasing a brown spoted dog at the shore .,animal
2536434720.jpg, A man in a green robe rides a white horse across a sandy floor .,animal
2445283938.jpg, The young girls sat in a circle on the wood floor .,human
2403544744.jpg, A dog runs by two cows .,animal
4031301793.jpg, Young Asian individuals walking in a busy city street .,human
4809690215.jpg, A woman walking down the street away from an ice cream truck .,human
453473508.jpg, a brown dog jumping in a stoney brook .,animal
3322443827.jpg, This man is smoking outside .,human
5822447877.jpg, A young boy and girl in swimsuits are playing with a volleyball at the beach .,human
3265864834.jpg, A brown dog making a funny face while standing on a beach .,animal
3195701071.jpg," A red dog , jumping in midair , on a grassy backyard , shot from behind .",animal
4591294546.jpg, There is a woman in a funny looking hat talking to people .,human
79737352.jpg, A woman picking up a couple plates of food from the table .,human
2337578794.jpg, Many individuals are waiting patiently for the line to go down to enter this building .,human
373394550.jpg, A small child sucks his thumb while sleeping with a pink blanket on a multicolored seat .,human
3397220683.jpg, The man is skiing in the snow with a large brown dog .,animal
1921398767.jpg, A dog walking on a beach,animal
4787655421.jpg, A man in medieval armor rides atop a horse .,animal
3465353601.jpg, There is a young male using a desktop computer and a lady smiling and watching him .,human
3228793611.jpg, Dog digs in sand,animal
4718950442.jpg, A man sets up a video camera before a football game .,human
432490118.jpg, The large brown and white dog is jumping towards the small brown and white dog .,animal
4554488264.jpg, Two women are sitting in a cart while a man pulls them .,human
524787268.jpg," Two men sit on a park bench , watching the river roll by , as a dog stands off to the side .",animal
519259595.jpg, A girl is riding on a tube that is being pulled by a boat .,human
4548082171.jpg," Three young girls in ballet class , two raising their hands .",human
746787916.jpg, Small show dog just ran through an orange flexible tube .,animal
4761370497.jpg, People walk up and down a hallway with advertisements on the wall .,human
4811949932.jpg, A young boy in a green hooded shirt pulling a yellow and black suitcase behind him .,human
4758584005.jpg, A man prepares to fly his toy airplane .,human
260850192.jpg, A person is squeezing through an opening in the rock face .,human
2067833088.jpg," a man in camouflage hiking gear , wearing a green pouch is standing in the foothills .",human
263491786.jpg, Two men stand at the mid-way division of a city road .,human
1019077836.jpg, Large brown dog running away from the sprinkler in the grass .,animal
3361630301.jpg, A woman at the checkout aisle at Walmart with a cart full of Tidy Cats brand cat litter .,animal
4971194812.jpg, a guy with spiky colored hair and a spiked collar smiling,human
717673249.jpg, two white dogs play in the grass .,human
3920626767.jpg, A man in a red costume jacket is riding a white horse on dirt ground .,animal
2354914661.jpg, Many people gather outside a busy freeway .,human
3407317539.jpg, A dog running in snow .,animal
2583217692.jpg, A woman wearing a white bikini top is being helped by a man to cross an expanse of water .,human
1526325728.jpg, A gray colored dog walks in wet sand at a beach .,animal
114941694.jpg, Man is orange hoodie doing a skateboard trick .,human
